method,wee,5z,ruc,aic,mot,axi,az628,azd6482,azd7762,azd8055,bi2536,bms536,bms754,bos,bx795,camp,les,chir,emb,dap,pic,gsk19,gef,gsk26,gw44,serd,jnk,jq1,ku,enz,mk,nil,nut,oba,pac1,pd03,pal,pd17,pf47,pf56,ppl,ro,sb,sl,sora,tam,tw,vor,yk,zm
cell_enet,0.063118935,0.174598665,0.050063735,0.08125,0.088,0.102567051,0.071944423,0.089699498,0.051631544,0.095624265,0.07722053,0.078841613,0.008,0.02034699,0.039293765,0.009797959,0.036660606,0.091902122,0.092029277,0.042857143,0.13821722,0.070167438,0.094519839,0.032863353,0.032,0.083299313,0.065222695,0.012,0.077871689,0.11188893,0.04069398,0.009797959,0.067941151,0.073647811,0.134344592,0,0.012,0.036,0.089353232,0.05,0.07877817,0.07183314,0.065848311,0.103826779,0.069985421,0.057131427,0.071873614,0.008,0.070530063,0.08109254
enet,0.059531504,0.083107688,0.028571429,0.096875,0.076,0.134238594,0.071665891,0.080597767,0.038048707,0.045672749,0.081948528,0.032,0.008,0.043197222,0.033852622,0.03,0.036660606,0.04054627,0.078571429,0.026244533,0.036,0.03702936,0.044766059,0.075604233,0.068,0.046014638,0.095781,0,0.063874878,0.048048657,0.079749608,0,0.061122827,0.061514226,0.070890833,0.13,0.024,0.024494897,0.033105891,0.034992711,0.044090815,0.088090862,0.15171025,0.053814496,0.014285714,0.029393877,0.072095104,0.019595918,0.087736561,0.021540659
rf,0.028530685,0.046702489,0.069482416,0.051253811,0.06303967,0.038807216,0.047686476,0.034409301,0.045386661,0.088204308,0.095397931,0.090884542,0.046108568,0.049959984,0.032031235,0.070738957,0.053478968,0.036331804,0.042782673,0.040720551,0.060382117,0.084061445,0.065238026,0.043863424,0.062769419,0.068836912,0.099769735,0.07877817,0.021540659,0.059063698,0.031527766,0.033823069,0.089308454,0.053516353,0.05841224,0.098254771,0.052592775,0.039749214,0.058343809,0.064384844,0.086255435,0.067720012,0.103903802,0.036469165,0.096097315,0.036249138,0.036157958,0.068337398,0.045666828,0.082607506
mlp,0.078076885,0.051259643,0.048445214,0.073950997,0.09243376,0.069742383,0.09173876,0.110742946,0.047915742,0.05706137,0.028571429,0.045343136,0.041472883,0.04874423,0.090642154,0.048332184,0.041279535,0.016,0.031134992,0.022587698,0.079849859,0.06681531,0.046303348,0.070880181,0.086856203,0.090773322,0.050358713,0.085463442,0.057480431,0.055787498,0.119933315,0.034985711,0.061188234,0.026832816,0.055787498,0.044899889,0.04621688,0.057480431,0.161616831,0.038465463,0.038678159,0.033466401,0.060860496,0.078740079,0.083757424,0.067941151,0.026726124,0.081338798,0.09105392,0.076837491
ae,0.076785415,0.15,0.138043915,0.098623336,0.119398492,0.038678159,0.127027556,0.030724583,0.096229954,0.095582425,0.203790609,0.058172158,0.158290871,0.083761566,0.099075729,0.05535341,0.064930732,0.078993671,0.132480264,0.094085285,0.081141851,0.069252569,0.074993333,0.039799497,0.061773781,0.048445214,0.046043458,0.059194594,0.0574108,0.061237244,0.081584312,0.039293765,0.119096599,0.037629775,0.091473203,0.038678159,0.049638695,0.068876701,0.102449988,0.026726124,0.038678159,0.049558047,0.032496154,0.060133186,0.106306258,0.024979992,0.11100193,0.041182521,0.06681531,0.111427106
dae,0.077820306,0.091473203,0.086455132,0.075519037,0.113030969,0.066633325,0.154738489,0.08428523,0.150932476,0.103150376,0.121952651,0.08475848,0.170716139,0.062417946,0.127687118,0.036551334,0.088769364,0.077097341,0.092444136,0.069068141,0.084522186,0.031134992,0.105261579,0.050358713,0.134313067,0.020824828,0.007483315,0.121095004,0.127687118,0.106186205,0.134848063,0.068293484,0.062289646,0.039191836,0.114285714,0.108701426,0.061514226,0.129089117,0.039293765,0.135243544,0.049799598,0.103033975,0.052687759,0.050438081,0.144455346,0.117541482,0.058248237,0.096208108,0.038465463,0.054552727
vae,0.033075671,0.070890833,0.127350352,0.033729739,0.120307938,0.031874755,0.085930204,0.050695167,0.045736602,0.086625631,0.144565676,0.077097341,0.093669632,0.086406018,0.111337325,0.041472883,0.043588989,0.205270553,0.179852547,0.089926274,0.04472136,0.063887656,0.205727976,0.099277389,0.150678466,0.059654618,0.10153817,0.085906926,0.024979992,0.088640526,0,0.06636264,0.08475848,0.184238975,0.047110378,0.065299311,0,0.065238026,0.044271887,0.057142857,0.11795762,0.119415242,0.086486993,0.124675579,0,0.045343136,0.070890833,0.066633325,0.066432412,0.09396808
vaen,0.004,0.071428571,0.157871686,0.011692679,0.096,0.004,0.074054034,0.076,0.028571429,0.071944423,0.107142857,0.08,0.136,0.077304592,0,0.081706793,0.024207437,0.129213002,0.135714286,0.057142857,0.096,0.069252569,0.087498571,0.093594872,0.04,0.055328334,0.136,0.044090815,0.116,0.121428571,0.084047606,0,0.085732141,0.024576411,0.142857143,0.036,0.039191836,0.036878178,0.028,0.057142857,0.050596443,0.120066648,0.02,0.075365775,0.073192505,0.052763624,0.021428571,0.087086164,0.078571429,0.104
coral,0.014696938,0.189655972,0.108091043,0.149869735,0.137200583,0.087040221,0.129367693,0.053516353,0.041342275,0.106583301,0.159078982,0.035213634,0.17024688,0.030066593,0.079649231,0.049558047,0.0287054,0.168594187,0.052245496,0.025253814,0.078230429,0.047110378,0.092649879,0.070823725,0.081877958,0.11682448,0.043543082,0.117745488,0.13558761,0.068325452,0.081584312,0.110163515,0.138621788,0.128903064,0.104124141,0.083090312,0.060464866,0.060860496,0.054184869,0.11627729,0.097365292,0.092086915,0.038262253,0.096829747,0.073713455,0.055136195,0.063285876,0.066151342,0.062269985,0.090199778
adae,0.041665333,0.140334876,0.065270239,0.053216832,0.133326666,0.037363083,0.156639714,0.039293765,0.064779847,0.035552778,0.086307471,0.139226434,0.071665891,0.043358967,0.118995798,0.121095004,0.095895777,0.181670031,0.204415543,0.053690344,0.061886994,0.10012747,0.039293765,0.07293833,0.079598995,0.038299305,0.05192302,0.066663333,0.073783467,0.077426726,0.092217135,0.054184869,0.061122827,0.060199668,0.08601139,0.052535702,0.09308061,0.04586938,0.039293765,0.116633256,0.08138796,0.062417946,0.038987177,0.075259551,0.053452248,0.054626001,0.058248237,0.090022219,0.131028117,0.031685959
