method,wee,5z,ruc,aic,mot,axi,az628,azd6482,azd7762,azd8055,bi2536,bms536,bms754,bos,bx795,camp,les,chir,emb,dap,pic,gsk19,gef,gsk26,gw44,serd,jnk,jq1,ku,enz,mk,nil,nut,oba,pac1,pd03,pal,pd17,pf47,pf56,ppl,ro,sb,sl,sora,tam,tw,vor,yk,zm
cell_enet,0.507485694,0.455516864,0.710653989,0.5141513,0.675500075,0.503405214,0.526299554,0.550664082,0.448661814,0.550597551,0.432966993,0.652769472,0.690217504,0.414094452,0.414740738,0.424470981,0.613509716,0.604806393,0.69221909,0.66125997,0.528974102,0.401643079,0.554922583,0.546176848,0.660594371,0.610177045,0.488533708,0.370880426,0.700508385,0.525510561,0.368776356,0.524101231,0.411197938,0.646215229,0.628194544,0,0.327650897,0.607359731,0.709828515,0.684005439,0.540239779,0.665840243,0.615397511,0.689021511,0.427033918,0.370725097,0.600522811,0.37012577,0.429070374,0.723195212
enet,0.54439424,0.482633279,0.670638013,0.421764139,0.67482968,0.756292745,0.563546473,0.510706011,0.529235289,0.61588573,0.389005241,0.631894586,0.722090789,0.568459934,0.494902101,0.400712963,0.642704832,0.483214204,0.667794349,0.683182571,0.439035022,0.393827284,0.5185851,0.546127767,0.599457212,0.675479045,0.59344753,0.390794481,0.545417565,0.461470196,0.46846042,0.63479215,0.538455316,0.49212983,0.439865175,0.633756205,0.333188243,0.478869318,0.681117035,0.686522287,0.581549645,0.573827941,0.547499195,0.72287482,0.36066501,0.370128401,0.563419041,0.360074302,0.535612166,0.61523273
rf,0.567379927,0.345255023,0.390522414,0.415984293,0.483371847,0.698020791,0.471073825,0.419001925,0.431835902,0.365660913,0.417247514,0.453662853,0.471242205,0.436565592,0.490443824,0.557345129,0.461769384,0.358526515,0.381010656,0.565824176,0.484240648,0.556854098,0.435962693,0.557532629,0.535057712,0.487687788,0.562075362,0.486879925,0.467292025,0.338770753,0.388459356,0.53612996,0.468112224,0.395281055,0.428933685,0.475156628,0.373792109,0.424028671,0.559485076,0.392373262,0.41414514,0.54186534,0.509666901,0.547448342,0.418463719,0.506529735,0.345312227,0.41423218,0.327715261,0.43099177
mlp,0.621074805,0.344319252,0.489860853,0.438929924,0.434587372,0.744749992,0.372025149,0.489282096,0.577086604,0.396009113,0.426627658,0.457078216,0.493643533,0.486121581,0.364024781,0.539604622,0.485404419,0.342004504,0.385824215,0.557465471,0.459493629,0.438812656,0.393942981,0.519114596,0.48580865,0.47278416,0.661446906,0.515980303,0.5384986,0.330793968,0.428560594,0.570410621,0.398070231,0.407906039,0.461573387,0.438553443,0.355165087,0.442684389,0.509895708,0.492720811,0.433152235,0.567889131,0.58964869,0.593440523,0.460967604,0.456409926,0.33583817,0.396203942,0.385699221,0.5405443
ae,0.688889715,0.43529859,0.464090354,0.525973991,0.628561485,0.814631868,0.575650187,0.531000768,0.657536115,0.607040496,0.493910296,0.535884161,0.588751072,0.495837379,0.444655836,0.607357446,0.602424419,0.456621811,0.542950502,0.587475184,0.472961503,0.521254262,0.465105602,0.619160542,0.51441509,0.552665906,0.700577316,0.494699965,0.581151716,0.501173509,0.443088452,0.642839847,0.499858992,0.468682848,0.557986775,0.756307256,0.434480575,0.464554929,0.620695581,0.531051726,0.53703656,0.596659561,0.580275356,0.645526815,0.562148724,0.551088408,0.498368259,0.55909043,0.457566323,0.52860693
dae,0.717794578,0.493939394,0.568448615,0.483972347,0.615688612,0.747881374,0.586263287,0.547489084,0.653912397,0.577267414,0.53810388,0.500088479,0.600355243,0.577985596,0.411321298,0.565729689,0.580276586,0.39272949,0.578064198,0.60388984,0.479392112,0.479795324,0.500768777,0.59370141,0.577626632,0.600479164,0.761787408,0.532545687,0.559776867,0.538187011,0.506101079,0.614779157,0.470437281,0.491056742,0.671421198,0.672203819,0.438580173,0.480030195,0.553324765,0.54568384,0.578293851,0.639343547,0.557250986,0.727679958,0.527596213,0.535692836,0.395585803,0.539226248,0.499044804,0.557164959
vae,0.81523994,0.767990184,0.733333333,0.87066333,0.75,0.75,0.75,0.75,0.798168657,0.75,0.733333333,0.75,0.75,0.75,0.811276103,0.75,0.75,0.75,0.733333333,0.733333333,0.75,0.733333333,0.75,0.75,0.75,0.733333333,0.75,0.75,0.75,0.733333333,0.75,0.75,0.75,0.75,0.779468864,0.75,0.75,0.75,0.76,0.733333333,0.75,0.755,0.75,0.755,0.733333333,0.75,0.733333333,0.75,0.733333333,0.755
vaen,0.75,0.737327355,0.733333333,0.764732143,0.758823529,0.771354575,0.75,0.75,0.740357143,0.75,0.74328592,0.756916667,0.763467921,0.792555556,0.75,0.753926065,0.756984844,0.75,0.750646259,0.74207483,0.763307692,0.763594104,0.75,0.758433184,0.75,0.744081633,0.760537074,0.75,0.753293651,0.735885226,0.75,0.75,0.75,0.75,0.746360544,0.75,0.757355145,0.75,0.75,0.733333333,0.75,0.763673372,0.75,0.75,0.746825397,0.75,0.733333333,0.75,0.733333333,0.753866545
coral,0.751890218,0.490950716,0.631002807,0.520053488,0.603350577,0.843522855,0.6658179,0.510974146,0.580236708,0.637960229,0.634606505,0.495195658,0.616537127,0.631410634,0.443498387,0.617894548,0.684940644,0.411417421,0.581518918,0.55208375,0.52287483,0.496107662,0.478736589,0.620864823,0.566575494,0.636725735,0.722543831,0.47679033,0.577926285,0.449019988,0.450067372,0.600795838,0.44245156,0.469515007,0.548396802,0.672074938,0.461541801,0.445580275,0.614948503,0.549953816,0.554235248,0.620949377,0.631938084,0.635711011,0.588119737,0.488851954,0.466986149,0.578358248,0.510335101,0.636302386
adae,0.826226709,0.719855145,0.718090957,0.797140429,0.763870752,0.811543624,0.74430188,0.699396764,0.890877932,0.695907637,0.771663575,0.760484563,0.71744926,0.730508041,0.73825253,0.701810969,0.729857258,0.671499742,0.716278246,0.661351347,0.751858077,0.688024198,0.76370948,0.70344834,0.716306131,0.686895168,0.736541712,0.690006859,0.76816502,0.741608392,0.687713083,0.647938081,0.731447368,0.725474006,0.706008991,0.7853476,0.570851782,0.654123048,0.737461507,0.737301587,0.73960035,0.729825851,0.764808511,0.737159011,0.651403755,0.688067903,0.689906998,0.590340486,0.681706785,0.747484405
tcrp,0.675419259,0.336060368,0.522421745,0.462539578,0.495838264,0.774921688,0,0.525549071,0.539712589,0.450147792,0,0.523507068,0.500154263,0.605852189,0.396092691,0.649819626,0.564171795,0.370745576,0.375615654,0.529021851,0.595600524,0.51107456,0.484008359,0.498156333,0.552821558,0.528079143,0.637184825,0.509613491,0.591275594,0.402896786,0.457712776,0.663874519,0.443235006,0.496900668,0.443911644,0.528673803,0.375110673,0.456612367,0.586326654,0.471204193,0.50144312,0.564721244,0.533891524,0.71553988,0.490059821,0.446370871,0.322437087,0.427161601,0.406382308,0.445094786
dsna,0.64265916,0.546750829,0.54464813,0.617195374,0.591077545,0.839997579,0.602132216,0.549363327,0.63741453,0.613983164,0.688038549,0.526330008,0.534432908,0.557084805,0.480303293,0.657133095,0.603509929,0.447279568,0.644696494,0.725893115,0.52862928,0.602292985,0.500154126,0.580242978,0.604336674,0.464898871,0.676968245,0.559570515,0.664365694,0.460259027,0.454118301,0.650779452,0.492918905,0.511280231,0.580354844,0.596491867,0.482781231,0.467869108,0.598583179,0.552494807,0.571472034,0.573829624,0.670769137,0.824630365,0.557159705,0.493858181,0.515157343,0.537767467,0.431438244,0.581348803
coxen,0.409270362,0.794047619,0.735858586,0.51133658,0.511855601,0.443420008,0.69362059,0.615575209,0.788487703,0.663045974,0.634384663,0.503457887,0.68677013,0.757953708,0.911998133,0.647252747,0.552455828,0.436820541,0.694763966,0.440733869,0.685577201,0.537950938,0.707881563,0.66966811,0.458716235,0.656632653,0.581359092,0.685607769,0.563980975,0.667491239,0.715941558,0.482839943,0.565478832,0.699797098,0.465986395,0.47001378,0.64214604,0.509232663,0.408828622,0.647566719,0.443931624,0.74906015,0.570131804,0.740272272,0.575283447,0.686103801,0.578829107,0.663775253,0.671088435,0.566180114
coxrf,0.577285864,0.72366788,0.532958708,0.737082258,0.577696746,0.48175233,0.746519806,0.555490653,0.776514874,0.567945631,0.639571777,0.480331314,0.615486291,0.584654217,0.792913589,0.624525234,0.59502626,0.667371872,0.69848354,0.46906863,0.575138548,0.517854447,0.631571134,0.592124766,0.476950553,0.596984563,0.616857779,0.728279237,0.639207812,0.572495045,0.721401551,0.64606053,0.538068736,0.721971549,0.550713334,0.487256243,0.649030468,0.667982127,0.534368136,0.696252914,0.561387939,0.58865173,0.565264424,0.46969673,0.723524174,0.5689934,0.709884124,0.710563624,0.743961554,0.664996822
dsn,0.772845227,0.482038438,0.578441281,0.491644154,0.582344098,0.848445507,0.565446567,0.538229423,0.655464575,0.612828669,0.485211574,0.559009517,0.648976884,0.536125192,0.4529381,0.726537175,0.68907386,0.450178262,0.457986815,0.669649398,0.574939329,0.608386851,0.514734459,0.594586596,0.676476663,0.547264363,0.678551708,0.616457148,0.619772322,0.437967905,0.475863301,0.672271148,0.444450516,0.519030416,0.644700339,0.567697206,0.370066846,0.428057627,0.584634276,0.524653918,0.630786661,0.589687814,0.69008989,0.725691163,0.599093526,0.634053627,0.45108792,0.491963975,0.388201322,0.566352982
adsn_norm,0.789549486,0.742857143,0.7628663,0.811833375,0.763736842,0.762261207,0.679239029,0.751670107,0.760018553,0.762946895,0.758095238,0.751128311,0.743303333,0.757894737,0.765526316,0.764723027,0.779510664,0.785416667,0.743333333,0.7376376,0.774853801,0.76707483,0.778121775,0.790263158,0.76001548,0.751739927,0.754473684,0.755263158,0.742894737,0.768644689,0.741187497,0.706642869,0.739473684,0.778677054,0.771666667,0.759398235,0.74,0.676190476,0.795,0.762179487,0.767631579,0.787653365,0.745997506,0.769298246,0.623080887,0.755856358,0.733333333,0.700771168,0.74,0.812164835
